"Source:","C:\tools\msys64\home\kva\gitlab\fae-fir\90640\mlx90640-breakout\mlx90640-breakout.kicad_sch"
"Date:","8/12/2022 2:06:49 PM"
"Tool:","Eeschema (6.0.7)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","8"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","100n","pspice:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C2","10u","pspice:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","J1","Conn_01x04_Male","Connector:Conn_01x04_Male","melexis-temperature:QWIIC_STEMMA_QT","~"
"","","TP1","TestPoint","Connector:TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"","","TP2","TestPoint","Connector:TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"","","TP3","TestPoint","Connector:TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"","","TP4","TestPoint","Connector:TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"","","U1","MLX90640","melexis-temperature:MLX90640","melexis-temperature:mlx90640_41","https://melexis.com/mlx90640"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","C1","100n","pspice:C","Capacitor_SMD:C_0805_2012Metric","~"
"2","1","C2","10u","pspice:C","Capacitor_SMD:C_0805_2012Metric","~"
"3","1","J1","Conn_01x04_Male","Connector:Conn_01x04_Male","melexis-temperature:QWIIC_STEMMA_QT","~"
"4","4","TP1, TP2, TP3, TP4","TestPoint","Connector:TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"5","1","U1","MLX90640","melexis-temperature:MLX90640","melexis-temperature:mlx90640_41","https://melexis.com/mlx90640"
